nyr,nstock,zeta,nday,value,pvalue,nsims
0.5,2,0.022227711223719356,127,0.0018704055742559667,0.0018295470715985473,1000000
0.5,2,0.03143473067309657,127,0.0019945639474396584,7.007050606506748e-4,1000000
0.5,2,0.04445542244743871,127,0.002272839118405228,6.517411769280113e-5,1000000
0.5,2,0.06286946134619315,127,0.002643976410180409,1.6945805098034228e-6,1000000
0.5,2,0.08891084489487742,127,0.003462977449656595,7.668776724756299e-11,1000000
0.5,4,0.022227711223719356,127,0.0026586988424155125,1.4496159643773154e-6,1000000
0.5,4,0.03143473067309657,127,0.003072457775712938,1.2634352009044392e-8,1000000
0.5,4,0.04445542244743871,127,0.003824863077212053,3.9257486150745535e-13,1000000
0.5,4,0.06286946134619315,127,0.005143503331594273,0,1000000
0.5,4,0.08891084489487742,127,0.0070434923845950894,0,1000000
0.5,8,0.022227711223719356,127,0.0028167337993154897,2.5683514637275806e-7,1000000
0.5,8,0.03143473067309657,127,0.003962417264245426,4.6074255521943996e-14,1000000
0.5,8,0.04445542244743871,127,0.00579141545079112,0,1000000
0.5,8,0.06286946134619315,127,0.008423837967280993,0,1000000
0.5,8,0.08891084489487742,127,0.012505607278610413,0,1000000
0.5,16,0.022227711223719356,127,0.006155639548256402,0,1000000
0.5,16,0.03143473067309657,127,0.008680956135707433,0,1000000
0.5,16,0.04445542244743871,127,0.012183855818593962,0,1000000
0.5,16,0.06286946134619315,127,0.017535261408515995,0,1000000
0.5,16,0.08891084489487742,127,0.02537977927379484,0,1000000
1,2,0.022227711223719356,253,5.503359883198833e-4,0.9224789547602645,1000000
1,2,0.03143473067309657,253,4.968642934912032e-4,0.9659153746264145,1000000
1,2,0.04445542244743871,253,6.711385580420993e-4,0.758585481235909,1000000
1,2,0.06286946134619315,253,0.001413183793152777,0.036844978495537806,1000000
1,2,0.08891084489487742,253,0.0020003760106530313,6.689098987030517e-4,1000000
1,4,0.022227711223719356,253,0.0014839977959656126,0.02444441383686069,1000000
1,4,0.03143473067309657,253,0.001836791134616349,0.002347378359022323,1000000
1,4,0.04445542244743871,253,0.0024843696820208974,8.71000447488779e-6,1000000
1,4,0.06286946134619315,253,0.0035594563767623313,1.978073260744395e-11,1000000
1,4,0.08891084489487742,253,0.005103218449690388,0,1000000
1,8,0.022227711223719356,253,0.001945829210045018,0.001028806950160055,1000000
1,8,0.03143473067309657,253,0.0027561377463026495,5.046284744514296e-7,1000000
1,8,0.04445542244743871,253,0.004041643951553236,1.2989609388114332e-14,1000000
1,8,0.06286946134619315,253,0.006089204564043076,0,1000000
1,8,0.08891084489487742,253,0.009310355518270945,0,1000000
1,16,0.022227711223719356,253,0.004695804666772301,0,1000000
1,16,0.03143473067309657,253,0.006314534483174732,0,1000000
1,16,0.04445542244743871,253,0.008874079759728397,0,1000000
1,16,0.06286946134619315,253,0.012834847247770257,0,1000000
1,16,0.08891084489487742,253,0.018910623577541003,0,1000000
2,2,0.022227711223719356,506,9.502198582014e-4,0.32722766731628905,1000000
2,2,0.03143473067309657,506,0.0012037190277226207,0.11026160846586941,1000000
2,2,0.04445542244743871,506,0.0013461102880672194,0.053349129625082536,1000000
2,2,0.06286946134619315,506,0.0014879038580602733,0.02388343147782479,1000000
2,2,0.08891084489487742,506,0.0020658918331656886,3.9261897245801425e-4,1000000
2,4,0.022227711223719356,506,0.0017382127213775012,0.00474995676846246,1000000
2,4,0.03143473067309657,506,0.0018826367307219472,0.001669059575274523,1000000
2,4,0.04445542244743871,506,0.0020746044068608296,3.6528974061467157e-4,1000000
2,4,0.06286946134619315,506,0.0030519849620350417,1.6235311650625306e-8,1000000
2,4,0.08891084489487742,506,0.004755402631706123,0,1000000
2,8,0.022227711223719356,506,0.003108418704419829,8.100123682908134e-9,1000000
2,8,0.03143473067309657,506,0.003754750413837631,1.1364242880063102e-12,1000000
2,8,0.04445542244743871,506,0.004844036584479155,0,1000000
2,8,0.06286946134619315,506,0.006368554310208801,0,1000000
2,8,0.08891084489487742,506,0.008932107031730944,0,1000000
2,16,0.022227711223719356,506,0.0035550487388800447,2.1061041799441682e-11,1000000
2,16,0.03143473067309657,506,0.00475519087668949,0,1000000
2,16,0.04445542244743871,506,0.0066222773491434175,0,1000000
2,16,0.06286946134619315,506,0.009580792428910327,0,1000000
2,16,0.08891084489487742,506,0.01456605621782056,0,1000000
4,2,0.022227711223719356,1012,0.0010095656440821377,0.2598867055895755,1000000
